,movie,year,imdb,metascore,votes,n_imdb
2564,Sicario,2015,7.6,82,312912,76.0
2565,Mission: Impossible - Rogue Nation,2015,7.4,75,298683,74.0
2566,Room,2015,8.2,86,294060,82.0
2567,The Big Short,2015,7.8,81,292315,78.0
2568,Fifty Shades of Grey,2015,4.1,46,270998,41.0
2569,Bridge of Spies,2015,7.6,81,253265,76.0
2570,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,239554,66.0
2571,The Man from U.N.C.L.E.,2015,7.3,56,232824,73.0
2572,Terminator Genisys,2015,6.4,38,227383,64.0
2573,Spy,2015,7.0,75,208616,70.0
2574,Chappie,2015,6.8,41,208332,68.0
2575,Creed,2015,7.6,82,207519,76.0
2576,Southpaw,2015,7.4,57,193295,74.0
2577,Insurgent,2015,6.2,42,192953,62.0
2578,Maze Runner: The Scorch Trials,2015,6.3,43,192769,63.0
2579,Focus,2015,6.6,56,186075,66.0
2580,Minions,2015,6.4,56,185652,64.0
2581,San Andreas,2015,6.1,43,184675,61.0
2582,The Intern,2015,7.1,51,184602,71.0
2583,Everest,2015,7.1,64,175739,71.0
2584,The Lobster,2015,7.1,82,163710,71.0
2585,Jupiter Ascending,2015,5.3,40,162580,53.0
2586,Straight Outta Compton,2015,7.9,72,160616,79.0
2587,Ted 2,2015,6.3,48,158724,63.0
2588,Tomorrowland,2015,6.4,60,157956,64.0
2589,Black Mass,2015,6.9,68,151939,69.0
2590,The Witch,2015,6.8,83,142204,68.0
2591,The Danish Girl,2015,7.1,66,138743,71.0
2592,Fantastic Four,2015,4.3,27,136346,43.0
2593,Cinderella,2015,6.9,67,135987,69.0
2594,Steve Jobs,2015,7.2,82,134487,72.0
2595,The Age of Adaline,2015,7.2,51,132727,72.0
2596,Legend,2015,7.0,55,132372,70.0
2597,Star Wars: The Force Awakens,2015,8.0,81,761440,80.0
2598,Mad Max: Fury Road,2015,8.1,90,747638,81.0
2599,The Martian,2015,8.0,80,646354,80.0
2600,Avengers: Age of Ultron,2015,7.4,66,615007,74.0
2601,The Revenant,2015,8.0,76,586291,80.0
2602,Jurassic World,2015,7.0,59,520686,70.0
2603,Inside Out,2015,8.2,94,508678,82.0
2604,Ant-Man,2015,7.3,64,459940,73.0
2605,The Hateful Eight,2015,7.8,68,411103,78.0
2606,Spotlight,2015,8.1,93,344417,81.0
2607,Spectre,2015,6.8,60,342294,68.0
2608,Furious 7,2015,7.2,67,327230,72.0
2609,Sicario,2015,7.6,82,312912,76.0
2610,Mission: Impossible - Rogue Nation,2015,7.4,75,298683,74.0
2611,Room,2015,8.2,86,294060,82.0
2612,The Big Short,2015,7.8,81,292315,78.0
2613,Fifty Shades of Grey,2015,4.1,46,270998,41.0
2614,Bridge of Spies,2015,7.6,81,253265,76.0
2615,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,239554,66.0
2616,The Man from U.N.C.L.E.,2015,7.3,56,232824,73.0
2617,Terminator Genisys,2015,6.4,38,227383,64.0
2618,Spy,2015,7.0,75,208616,70.0
2619,Chappie,2015,6.8,41,208332,68.0
2620,Creed,2015,7.6,82,207519,76.0
2621,Southpaw,2015,7.4,57,193295,74.0
2622,Insurgent,2015,6.2,42,192953,62.0
2623,Maze Runner: The Scorch Trials,2015,6.3,43,192769,63.0
2624,Focus,2015,6.6,56,186075,66.0
2625,Minions,2015,6.4,56,185652,64.0
2626,San Andreas,2015,6.1,43,184675,61.0
2627,The Intern,2015,7.1,51,184602,71.0
2628,Everest,2015,7.1,64,175739,71.0
2629,The Lobster,2015,7.1,82,163710,71.0
2630,Jupiter Ascending,2015,5.3,40,162580,53.0
2631,Straight Outta Compton,2015,7.9,72,160616,79.0
2632,Ted 2,2015,6.3,48,158724,63.0
2633,Tomorrowland,2015,6.4,60,157956,64.0
2634,Black Mass,2015,6.9,68,151939,69.0
2635,The Witch,2015,6.8,83,142204,68.0
2636,The Danish Girl,2015,7.1,66,138743,71.0
2637,Fantastic Four,2015,4.3,27,136346,43.0
2638,Cinderella,2015,6.9,67,135987,69.0
2639,Steve Jobs,2015,7.2,82,134487,72.0
2640,The Age of Adaline,2015,7.2,51,132727,72.0
2641,Legend,2015,7.0,55,132372,70.0
2642,Star Wars: The Force Awakens,2015,8.0,81,761440,80.0
2643,Mad Max: Fury Road,2015,8.1,90,747638,81.0
2644,The Martian,2015,8.0,80,646354,80.0
2645,Avengers: Age of Ultron,2015,7.4,66,615007,74.0
2646,The Revenant,2015,8.0,76,586291,80.0
2647,Jurassic World,2015,7.0,59,520686,70.0
2648,Inside Out,2015,8.2,94,508678,82.0
2649,Ant-Man,2015,7.3,64,459940,73.0
2650,The Hateful Eight,2015,7.8,68,411103,78.0
2651,Spotlight,2015,8.1,93,344417,81.0
2652,Spectre,2015,6.8,60,342294,68.0
2653,Furious 7,2015,7.2,67,327230,72.0
2654,Sicario,2015,7.6,82,312912,76.0
2655,Mission: Impossible - Rogue Nation,2015,7.4,75,298683,74.0
2656,Room,2015,8.2,86,294060,82.0
2657,The Big Short,2015,7.8,81,292315,78.0
2658,Fifty Shades of Grey,2015,4.1,46,270998,41.0
2659,Bridge of Spies,2015,7.6,81,253265,76.0
2660,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,239554,66.0
2661,The Man from U.N.C.L.E.,2015,7.3,56,232824,73.0
2662,Terminator Genisys,2015,6.4,38,227383,64.0
2663,Spy,2015,7.0,75,208616,70.0
2664,Chappie,2015,6.8,41,208332,68.0
2665,Creed,2015,7.6,82,207519,76.0
2666,Southpaw,2015,7.4,57,193295,74.0
2667,Insurgent,2015,6.2,42,192953,62.0
2668,Maze Runner: The Scorch Trials,2015,6.3,43,192769,63.0
2669,Focus,2015,6.6,56,186075,66.0
2670,Minions,2015,6.4,56,185652,64.0
2671,San Andreas,2015,6.1,43,184675,61.0
2672,The Intern,2015,7.1,51,184602,71.0
2673,Everest,2015,7.1,64,175739,71.0
2674,The Lobster,2015,7.1,82,163710,71.0
2675,Jupiter Ascending,2015,5.3,40,162580,53.0
2676,Straight Outta Compton,2015,7.9,72,160616,79.0
2677,Ted 2,2015,6.3,48,158724,63.0
2678,Tomorrowland,2015,6.4,60,157956,64.0
2679,Black Mass,2015,6.9,68,151939,69.0
2680,The Witch,2015,6.8,83,142204,68.0
2681,The Danish Girl,2015,7.1,66,138743,71.0
2682,Fantastic Four,2015,4.3,27,136346,43.0
2683,Cinderella,2015,6.9,67,135987,69.0
2684,Steve Jobs,2015,7.2,82,134487,72.0
2685,The Age of Adaline,2015,7.2,51,132727,72.0
2686,Legend,2015,7.0,55,132372,70.0
2687,Star Wars: The Force Awakens,2015,8.0,81,761440,80.0
2688,Mad Max: Fury Road,2015,8.1,90,747638,81.0
2689,The Martian,2015,8.0,80,646354,80.0
2690,Avengers: Age of Ultron,2015,7.4,66,615007,74.0
2691,The Revenant,2015,8.0,76,586291,80.0
2692,Jurassic World,2015,7.0,59,520686,70.0
2693,Inside Out,2015,8.2,94,508678,82.0
2694,Ant-Man,2015,7.3,64,459940,73.0
2695,The Hateful Eight,2015,7.8,68,411103,78.0
2696,Spotlight,2015,8.1,93,344417,81.0
2697,Spectre,2015,6.8,60,342294,68.0
2698,Furious 7,2015,7.2,67,327230,72.0
2699,Sicario,2015,7.6,82,312912,76.0
2700,Mission: Impossible - Rogue Nation,2015,7.4,75,298683,74.0
2701,Room,2015,8.2,86,294060,82.0
2702,The Big Short,2015,7.8,81,292315,78.0
2703,Fifty Shades of Grey,2015,4.1,46,270998,41.0
2704,Bridge of Spies,2015,7.6,81,253265,76.0
2705,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,239554,66.0
2706,The Man from U.N.C.L.E.,2015,7.3,56,232824,73.0
2707,Terminator Genisys,2015,6.4,38,227383,64.0
2708,Spy,2015,7.0,75,208616,70.0
2709,Chappie,2015,6.8,41,208332,68.0
2710,Creed,2015,7.6,82,207519,76.0
2711,Southpaw,2015,7.4,57,193295,74.0
2712,Insurgent,2015,6.2,42,192953,62.0
2713,Maze Runner: The Scorch Trials,2015,6.3,43,192769,63.0
2714,Focus,2015,6.6,56,186075,66.0
2715,Minions,2015,6.4,56,185652,64.0
2716,San Andreas,2015,6.1,43,184675,61.0
2717,The Intern,2015,7.1,51,184602,71.0
2718,Everest,2015,7.1,64,175739,71.0
2719,The Lobster,2015,7.1,82,163710,71.0
2720,Jupiter Ascending,2015,5.3,40,162580,53.0
2721,Straight Outta Compton,2015,7.9,72,160616,79.0
2722,Ted 2,2015,6.3,48,158724,63.0
2723,Tomorrowland,2015,6.4,60,157956,64.0
2724,Black Mass,2015,6.9,68,151939,69.0
2725,The Witch,2015,6.8,83,142204,68.0
2726,The Danish Girl,2015,7.1,66,138743,71.0
2727,Fantastic Four,2015,4.3,27,136346,43.0
2728,Cinderella,2015,6.9,67,135987,69.0
2729,Steve Jobs,2015,7.2,82,134487,72.0
2730,The Age of Adaline,2015,7.2,51,132727,72.0
2731,Legend,2015,7.0,55,132372,70.0
2732,Deadpool,2016,8.0,65,778922,80.0
2733,Batman v Superman: Dawn of Justice,2016,6.5,44,553216,65.0
2734,Captain America: Civil War,2016,7.8,75,534134,78.0
2735,Suicide Squad,2016,6.1,40,504446,61.0
2736,Arrival,2016,7.9,81,481929,79.0
2737,Doctor Strange,2016,7.5,72,462209,75.0
2738,Rogue One: A Star Wars Story,2016,7.8,65,451424,78.0
2739,La La Land,2016,8.0,93,405580,80.0
2740,Zootopia,2016,8.0,78,361859,80.0
2741,Hacksaw Ridge,2016,8.1,71,343225,81.0
2742,X-Men: Apocalypse,2016,7.0,52,336153,70.0
2743,Fantastic Beasts and Where to Find Them,2016,7.3,66,335792,73.0
2744,Split,2016,7.3,62,297237,73.0
2745,Passengers,2016,7.0,41,291701,70.0
2746,10 Cloverfield Lane,2016,7.2,76,249916,72.0
2747,The Jungle Book,2016,7.4,77,232576,74.0
2748,The Nice Guys,2016,7.4,70,227588,74.0
2749,The Accountant,2016,7.4,51,222157,74.0
2750,Warcraft: The Beginning,2016,6.9,32,218981,69.0
2751,Moonlight,2016,7.4,99,209887,74.0
2752,Moana,2016,7.6,81,208648,76.0
2753,Finding Dory,2016,7.3,77,202914,73.0
2754,Now You See Me 2,2016,6.5,46,202788,65.0
2755,Star Trek: Beyond,2016,7.1,68,202518,71.0
2756,Manchester by the Sea,2016,7.8,96,200982,78.0
2757,Nocturnal Animals,2016,7.5,67,191961,75.0
2758,Sully,2016,7.5,74,189215,75.0
2759,Jason Bourne,2016,6.6,58,183474,66.0
2760,The Conjuring 2,2016,7.4,65,182183,74.0
2761,Ghostbusters,2016,5.3,60,178986,53.0
2762,Don't Breathe,2016,7.1,71,175454,71.0
2763,Lion,2016,8.1,69,169563,81.0
2764,Hell or High Water,2016,7.6,88,164255,76.0
2765,The Promise,2016,6.1,49,163002,61.0
2766,The Magnificent Seven,2016,6.9,54,161356,69.0
2767,Hidden Figures,2016,7.8,74,160026,78.0
2768,Assassin's Creed,2016,5.8,36,159537,58.0
2769,Me Before You,2016,7.4,51,159032,74.0
2770,The Secret Life of Pets,2016,6.5,61,153592,65.0
2771,Sausage Party,2016,6.2,66,152936,62.0
2772,Independence Day: Resurgence,2016,5.2,32,150230,52.0
2773,Captain Fantastic,2016,7.9,72,149454,79.0
2774,War Dogs,2016,7.1,57,145847,71.0
2775,The Legend of Tarzan,2016,6.3,44,144371,63.0
2776,The Girl on the Train,2016,6.5,48,142657,65.0
2777,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,134703,67.0
2778,Inferno,2016,6.2,42,131770,62.0
2779,Deadpool,2016,8.0,65,778922,80.0
2780,Batman v Superman: Dawn of Justice,2016,6.5,44,553216,65.0
2781,Captain America: Civil War,2016,7.8,75,534134,78.0
2782,Suicide Squad,2016,6.1,40,504446,61.0
2783,Arrival,2016,7.9,81,481929,79.0
2784,Doctor Strange,2016,7.5,72,462209,75.0
2785,Rogue One: A Star Wars Story,2016,7.8,65,451424,78.0
2786,La La Land,2016,8.0,93,405580,80.0
2787,Zootopia,2016,8.0,78,361859,80.0
2788,Hacksaw Ridge,2016,8.1,71,343225,81.0
2789,X-Men: Apocalypse,2016,7.0,52,336153,70.0
2790,Fantastic Beasts and Where to Find Them,2016,7.3,66,335792,73.0
2791,Split,2016,7.3,62,297237,73.0
2792,Passengers,2016,7.0,41,291701,70.0
2793,10 Cloverfield Lane,2016,7.2,76,249916,72.0
2794,The Jungle Book,2016,7.4,77,232576,74.0
2795,The Nice Guys,2016,7.4,70,227588,74.0
2796,The Accountant,2016,7.4,51,222157,74.0
2797,Warcraft: The Beginning,2016,6.9,32,218981,69.0
2798,Moonlight,2016,7.4,99,209887,74.0
2799,Moana,2016,7.6,81,208648,76.0
2800,Finding Dory,2016,7.3,77,202914,73.0
2801,Now You See Me 2,2016,6.5,46,202788,65.0
2802,Star Trek: Beyond,2016,7.1,68,202518,71.0
2803,Manchester by the Sea,2016,7.8,96,200982,78.0
2804,Nocturnal Animals,2016,7.5,67,191961,75.0
2805,Sully,2016,7.5,74,189215,75.0
2806,Jason Bourne,2016,6.6,58,183474,66.0
2807,The Conjuring 2,2016,7.4,65,182183,74.0
2808,Ghostbusters,2016,5.3,60,178986,53.0
2809,Don't Breathe,2016,7.1,71,175454,71.0
2810,Lion,2016,8.1,69,169563,81.0
2811,Hell or High Water,2016,7.6,88,164255,76.0
2812,The Promise,2016,6.1,49,163002,61.0
2813,The Magnificent Seven,2016,6.9,54,161356,69.0
2814,Hidden Figures,2016,7.8,74,160026,78.0
2815,Assassin's Creed,2016,5.8,36,159537,58.0
2816,Me Before You,2016,7.4,51,159032,74.0
2817,The Secret Life of Pets,2016,6.5,61,153592,65.0
2818,Sausage Party,2016,6.2,66,152936,62.0
2819,Independence Day: Resurgence,2016,5.2,32,150230,52.0
2820,Captain Fantastic,2016,7.9,72,149454,79.0
2821,War Dogs,2016,7.1,57,145847,71.0
2822,The Legend of Tarzan,2016,6.3,44,144371,63.0
2823,The Girl on the Train,2016,6.5,48,142657,65.0
2824,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,134703,67.0
2825,Inferno,2016,6.2,42,131770,62.0
2826,Deadpool,2016,8.0,65,778922,80.0
2827,Batman v Superman: Dawn of Justice,2016,6.5,44,553216,65.0
2828,Captain America: Civil War,2016,7.8,75,534134,78.0
2829,Suicide Squad,2016,6.1,40,504446,61.0
2830,Arrival,2016,7.9,81,481929,79.0
2831,Doctor Strange,2016,7.5,72,462209,75.0
2832,Rogue One: A Star Wars Story,2016,7.8,65,451424,78.0
2833,La La Land,2016,8.0,93,405580,80.0
2834,Zootopia,2016,8.0,78,361859,80.0
2835,Hacksaw Ridge,2016,8.1,71,343225,81.0
2836,X-Men: Apocalypse,2016,7.0,52,336153,70.0
2837,Fantastic Beasts and Where to Find Them,2016,7.3,66,335792,73.0
2838,Split,2016,7.3,62,297237,73.0
2839,Passengers,2016,7.0,41,291701,70.0
2840,10 Cloverfield Lane,2016,7.2,76,249916,72.0
2841,The Jungle Book,2016,7.4,77,232576,74.0
2842,The Nice Guys,2016,7.4,70,227588,74.0
2843,The Accountant,2016,7.4,51,222157,74.0
2844,Warcraft: The Beginning,2016,6.9,32,218981,69.0
2845,Moonlight,2016,7.4,99,209887,74.0
2846,Moana,2016,7.6,81,208648,76.0
2847,Finding Dory,2016,7.3,77,202914,73.0
2848,Now You See Me 2,2016,6.5,46,202788,65.0
2849,Star Trek: Beyond,2016,7.1,68,202518,71.0
2850,Manchester by the Sea,2016,7.8,96,200982,78.0
2851,Nocturnal Animals,2016,7.5,67,191961,75.0
2852,Sully,2016,7.5,74,189215,75.0
2853,Jason Bourne,2016,6.6,58,183474,66.0
2854,The Conjuring 2,2016,7.4,65,182183,74.0
2855,Ghostbusters,2016,5.3,60,178986,53.0
2856,Don't Breathe,2016,7.1,71,175454,71.0
2857,Lion,2016,8.1,69,169563,81.0
2858,Hell or High Water,2016,7.6,88,164255,76.0
2859,The Promise,2016,6.1,49,163002,61.0
2860,The Magnificent Seven,2016,6.9,54,161356,69.0
2861,Hidden Figures,2016,7.8,74,160026,78.0
2862,Assassin's Creed,2016,5.8,36,159537,58.0
2863,Me Before You,2016,7.4,51,159032,74.0
2864,The Secret Life of Pets,2016,6.5,61,153592,65.0
2865,Sausage Party,2016,6.2,66,152936,62.0
2866,Independence Day: Resurgence,2016,5.2,32,150230,52.0
2867,Captain Fantastic,2016,7.9,72,149454,79.0
2868,War Dogs,2016,7.1,57,145847,71.0
2869,The Legend of Tarzan,2016,6.3,44,144371,63.0
2870,The Girl on the Train,2016,6.5,48,142657,65.0
2871,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,134703,67.0
2872,Inferno,2016,6.2,42,131770,62.0
2873,Deadpool,2016,8.0,65,778922,80.0
2874,Batman v Superman: Dawn of Justice,2016,6.5,44,553216,65.0
2875,Captain America: Civil War,2016,7.8,75,534134,78.0
2876,Suicide Squad,2016,6.1,40,504446,61.0
2877,Arrival,2016,7.9,81,481929,79.0
2878,Doctor Strange,2016,7.5,72,462209,75.0
2879,Rogue One: A Star Wars Story,2016,7.8,65,451424,78.0
2880,La La Land,2016,8.0,93,405580,80.0
2881,Zootopia,2016,8.0,78,361859,80.0
2882,Hacksaw Ridge,2016,8.1,71,343225,81.0
2883,X-Men: Apocalypse,2016,7.0,52,336153,70.0
2884,Fantastic Beasts and Where to Find Them,2016,7.3,66,335792,73.0
2885,Split,2016,7.3,62,297237,73.0
2886,Passengers,2016,7.0,41,291701,70.0
2887,10 Cloverfield Lane,2016,7.2,76,249916,72.0
2888,The Jungle Book,2016,7.4,77,232576,74.0
2889,The Nice Guys,2016,7.4,70,227588,74.0
2890,The Accountant,2016,7.4,51,222157,74.0
2891,Warcraft: The Beginning,2016,6.9,32,218981,69.0
2892,Moonlight,2016,7.4,99,209887,74.0
2893,Moana,2016,7.6,81,208648,76.0
2894,Finding Dory,2016,7.3,77,202914,73.0
2895,Now You See Me 2,2016,6.5,46,202788,65.0
2896,Star Trek: Beyond,2016,7.1,68,202518,71.0
2897,Manchester by the Sea,2016,7.8,96,200982,78.0
2898,Nocturnal Animals,2016,7.5,67,191961,75.0
2899,Sully,2016,7.5,74,189215,75.0
2900,Jason Bourne,2016,6.6,58,183474,66.0
2901,The Conjuring 2,2016,7.4,65,182183,74.0
2902,Ghostbusters,2016,5.3,60,178986,53.0
2903,Don't Breathe,2016,7.1,71,175454,71.0
2904,Lion,2016,8.1,69,169563,81.0
2905,Hell or High Water,2016,7.6,88,164255,76.0
2906,The Promise,2016,6.1,49,163002,61.0
2907,The Magnificent Seven,2016,6.9,54,161356,69.0
2908,Hidden Figures,2016,7.8,74,160026,78.0
2909,Assassin's Creed,2016,5.8,36,159537,58.0
2910,Me Before You,2016,7.4,51,159032,74.0
2911,The Secret Life of Pets,2016,6.5,61,153592,65.0
2912,Sausage Party,2016,6.2,66,152936,62.0
2913,Independence Day: Resurgence,2016,5.2,32,150230,52.0
2914,Captain Fantastic,2016,7.9,72,149454,79.0
2915,War Dogs,2016,7.1,57,145847,71.0
2916,The Legend of Tarzan,2016,6.3,44,144371,63.0
2917,The Girl on the Train,2016,6.5,48,142657,65.0
2918,Miss Peregrine's Home for Peculiar Children,2016,6.7,57,134703,67.0
2919,Inferno,2016,6.2,42,131770,62.0
2920,Logan,2017,8.1,77,522115,81.0
2921,Wonder Woman,2017,7.5,76,449877,75.0
2922,Dunkirk,2017,7.9,94,431685,79.0
2923,Star Wars: The Last Jedi,2017,7.2,85,429495,72.0
2924,Guardians of the Galaxy Vol. 2,2017,7.7,67,425797,77.0
2925,Thor: Ragnarok,2017,7.9,74,407685,79.0
2926,Spider-Man: Homecoming,2017,7.5,73,372995,75.0
2927,Get Out,2017,7.7,84,347293,77.0
2928,Blade Runner 2049,2017,8.0,81,347066,80.0
2929,Baby Driver,2017,7.6,86,335622,76.0
2930,It,2017,7.4,69,322295,74.0
2931,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,298265,82.0
2932,Justice League,2017,6.5,45,296382,65.0
2933,The Shape of Water,2017,7.4,87,267737,74.0
2934,John Wick: Chapter 2,2017,7.5,75,250670,75.0
2935,Coco,2017,8.4,81,238979,84.0
2936,Beauty and the Beast,2017,7.2,65,222336,72.0
2937,Kong: Skull Island,2017,6.7,62,220604,67.0
2938,Jumanji: Welcome to the Jungle,2017,7.0,58,218185,70.0
2939,Alien: Covenant,2017,6.4,65,213873,64.0
2940,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,212961,66.0
2941,Kingsman: The Golden Circle,2017,6.8,44,211212,68.0
2942,War for the Planet of the Apes,2017,7.5,82,189254,75.0
2943,The Fate of the Furious,2017,6.7,56,170303,67.0
2944,The Greatest Showman,2017,7.7,48,169576,77.0
2945,Life,2017,6.6,54,168238,66.0
2946,Ghost in the Shell,2017,6.4,52,165090,64.0
2947,Murder on the Orient Express,2017,6.5,52,164980,65.0
2948,King Arthur: Legend of the Sword,2017,6.8,41,159302,68.0
2949,Lady Bird,2017,7.5,94,155934,75.0
2950,Wind River,2017,7.7,73,152023,77.0
2951,The Hitman's Bodyguard,2017,6.9,47,150061,69.0
2952,The Mummy,2017,5.5,34,144537,55.0
2953,Mother!,2017,6.6,75,141150,66.0
2954,Atomic Blonde,2017,6.7,63,139414,67.0
2955,Bright,2017,6.4,29,138862,64.0
2956,Call Me by Your Name,2017,7.9,93,133741,79.0
2957,Valerian and the City of a Thousand Planets,2017,6.5,51,130536,65.0
2958,Baywatch,2017,5.6,37,123190,56.0
2959,Darkest Hour,2017,7.4,75,120411,74.0
2960,American Made,2017,7.2,65,120005,72.0
2961,"I, Tonya",2017,7.5,77,119733,75.0
2962,Transformers: The Last Knight,2017,5.2,27,109458,52.0
2963,The Lego Batman Movie,2017,7.3,75,106772,73.0
2964,The Disaster Artist,2017,7.4,76,100056,74.0
2965,The Dark Tower,2017,5.7,34,100044,57.0
2966,Logan,2017,8.1,77,522115,81.0
2967,Wonder Woman,2017,7.5,76,449877,75.0
2968,Dunkirk,2017,7.9,94,431685,79.0
2969,Star Wars: The Last Jedi,2017,7.2,85,429495,72.0
2970,Guardians of the Galaxy Vol. 2,2017,7.7,67,425797,77.0
2971,Thor: Ragnarok,2017,7.9,74,407685,79.0
2972,Spider-Man: Homecoming,2017,7.5,73,372995,75.0
2973,Get Out,2017,7.7,84,347293,77.0
2974,Blade Runner 2049,2017,8.0,81,347066,80.0
2975,Baby Driver,2017,7.6,86,335622,76.0
2976,It,2017,7.4,69,322295,74.0
2977,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,298265,82.0
2978,Justice League,2017,6.5,45,296382,65.0
2979,The Shape of Water,2017,7.4,87,267737,74.0
2980,John Wick: Chapter 2,2017,7.5,75,250670,75.0
2981,Coco,2017,8.4,81,238979,84.0
2982,Beauty and the Beast,2017,7.2,65,222336,72.0
2983,Kong: Skull Island,2017,6.7,62,220604,67.0
2984,Jumanji: Welcome to the Jungle,2017,7.0,58,218185,70.0
2985,Alien: Covenant,2017,6.4,65,213873,64.0
2986,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,212961,66.0
2987,Kingsman: The Golden Circle,2017,6.8,44,211212,68.0
2988,War for the Planet of the Apes,2017,7.5,82,189254,75.0
2989,The Fate of the Furious,2017,6.7,56,170303,67.0
2990,The Greatest Showman,2017,7.7,48,169576,77.0
2991,Life,2017,6.6,54,168238,66.0
2992,Ghost in the Shell,2017,6.4,52,165090,64.0
2993,Murder on the Orient Express,2017,6.5,52,164980,65.0
2994,King Arthur: Legend of the Sword,2017,6.8,41,159302,68.0
2995,Lady Bird,2017,7.5,94,155934,75.0
2996,Wind River,2017,7.7,73,152023,77.0
2997,The Hitman's Bodyguard,2017,6.9,47,150061,69.0
2998,The Mummy,2017,5.5,34,144537,55.0
2999,Mother!,2017,6.6,75,141150,66.0
3000,Atomic Blonde,2017,6.7,63,139414,67.0
3001,Bright,2017,6.4,29,138862,64.0
3002,Call Me by Your Name,2017,7.9,93,133741,79.0
3003,Valerian and the City of a Thousand Planets,2017,6.5,51,130536,65.0
3004,Baywatch,2017,5.6,37,123190,56.0
3005,Darkest Hour,2017,7.4,75,120411,74.0
3006,American Made,2017,7.2,65,120005,72.0
3007,"I, Tonya",2017,7.5,77,119733,75.0
3008,Transformers: The Last Knight,2017,5.2,27,109458,52.0
3009,The Lego Batman Movie,2017,7.3,75,106772,73.0
3010,The Disaster Artist,2017,7.4,76,100056,74.0
3011,The Dark Tower,2017,5.7,34,100044,57.0
3012,Logan,2017,8.1,77,522115,81.0
3013,Wonder Woman,2017,7.5,76,449877,75.0
3014,Dunkirk,2017,7.9,94,431685,79.0
3015,Star Wars: The Last Jedi,2017,7.2,85,429495,72.0
3016,Guardians of the Galaxy Vol. 2,2017,7.7,67,425797,77.0
3017,Thor: Ragnarok,2017,7.9,74,407685,79.0
3018,Spider-Man: Homecoming,2017,7.5,73,372995,75.0
3019,Get Out,2017,7.7,84,347293,77.0
3020,Blade Runner 2049,2017,8.0,81,347066,80.0
3021,Baby Driver,2017,7.6,86,335622,76.0
3022,It,2017,7.4,69,322295,74.0
3023,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,298265,82.0
3024,Justice League,2017,6.5,45,296382,65.0
3025,The Shape of Water,2017,7.4,87,267737,74.0
3026,John Wick: Chapter 2,2017,7.5,75,250670,75.0
3027,Coco,2017,8.4,81,238979,84.0
3028,Beauty and the Beast,2017,7.2,65,222336,72.0
3029,Kong: Skull Island,2017,6.7,62,220604,67.0
3030,Jumanji: Welcome to the Jungle,2017,7.0,58,218185,70.0
3031,Alien: Covenant,2017,6.4,65,213873,64.0
3032,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,212961,66.0
3033,Kingsman: The Golden Circle,2017,6.8,44,211212,68.0
3034,War for the Planet of the Apes,2017,7.5,82,189254,75.0
3035,The Fate of the Furious,2017,6.7,56,170303,67.0
3036,The Greatest Showman,2017,7.7,48,169576,77.0
3037,Life,2017,6.6,54,168238,66.0
3038,Ghost in the Shell,2017,6.4,52,165090,64.0
3039,Murder on the Orient Express,2017,6.5,52,164980,65.0
3040,King Arthur: Legend of the Sword,2017,6.8,41,159302,68.0
3041,Lady Bird,2017,7.5,94,155934,75.0
3042,Wind River,2017,7.7,73,152023,77.0
3043,The Hitman's Bodyguard,2017,6.9,47,150061,69.0
3044,The Mummy,2017,5.5,34,144537,55.0
3045,Mother!,2017,6.6,75,141150,66.0
3046,Atomic Blonde,2017,6.7,63,139414,67.0
3047,Bright,2017,6.4,29,138862,64.0
3048,Call Me by Your Name,2017,7.9,93,133741,79.0
3049,Valerian and the City of a Thousand Planets,2017,6.5,51,130536,65.0
3050,Baywatch,2017,5.6,37,123190,56.0
3051,Darkest Hour,2017,7.4,75,120411,74.0
3052,American Made,2017,7.2,65,120005,72.0
3053,"I, Tonya",2017,7.5,77,119733,75.0
3054,Transformers: The Last Knight,2017,5.2,27,109458,52.0
3055,The Lego Batman Movie,2017,7.3,75,106772,73.0
3056,The Disaster Artist,2017,7.4,76,100056,74.0
3057,The Dark Tower,2017,5.7,34,100044,57.0
3058,Logan,2017,8.1,77,522115,81.0
3059,Wonder Woman,2017,7.5,76,449877,75.0
3060,Dunkirk,2017,7.9,94,431685,79.0
3061,Star Wars: The Last Jedi,2017,7.2,85,429495,72.0
3062,Guardians of the Galaxy Vol. 2,2017,7.7,67,425797,77.0
3063,Thor: Ragnarok,2017,7.9,74,407685,79.0
3064,Spider-Man: Homecoming,2017,7.5,73,372995,75.0
3065,Get Out,2017,7.7,84,347293,77.0
3066,Blade Runner 2049,2017,8.0,81,347066,80.0
3067,Baby Driver,2017,7.6,86,335622,76.0
3068,It,2017,7.4,69,322295,74.0
